Date,Open,High,Low,Close,Adj Close,Volume
2011-09-27,1163.319946,1195.859985,1098.920044,1099.229980,1099.229980,25708920000
2011-10-04,1097.420044,1194.910034,1074.770020,1194.890015,1194.890015,21350800000
2011-10-11,1194.599976,1224.609985,1187.300049,1200.859985,1200.859985,22633520000
2011-10-18,1200.750000,1256.550049,1191.479980,1254.189941,1254.189941,23847000000
2011-10-25,1254.189941,1292.660034,1221.060059,1253.300049,1253.300049,24562010000
2011-11-01,1251.000000,1263.209961,1215.420044,1261.119995,1261.119995,21865600000
2011-11-08,1261.119995,1277.550049,1226.640015,1251.780029,1251.780029,19160850000
2011-11-15,1251.699951,1264.250000,1183.160034,1192.979980,1192.979980,20158440000
2011-11-22,1192.979980,1197.349976,1158.660034,1192.550049,1192.550049,13295600000
2011-11-29,1192.560059,1266.729980,1191.800049,1257.079956,1257.079956,21905610000
2011-12-06,1257.189941,1267.060059,1227.250000,1236.469971,1236.469971,19624320000
2011-12-13,1236.829956,1249.859985,1202.369995,1205.349976,1205.349976,21235820000
2011-12-20,1205.719971,1265.420044,1205.719971,1265.329956,1265.329956,12740690000
2011-12-27,1265.020020,1269.369995,1248.640015,1257.599976,1257.599976,9030550000
2012-01-03,1258.859985,1284.619995,1258.859985,1280.699951,1280.699951,18880670000
2012-01-10,1280.770020,1296.819946,1277.579956,1289.089966,1289.089966,15902340000
2012-01-17,1290.219971,1322.280029,1290.219971,1316.000000,1316.000000,20256070000
2012-01-24,1315.959961,1333.469971,1300.489990,1313.010010,1313.010010,20292930000
2012-01-31,1313.530029,1345.339966,1306.689941,1344.329956,1344.329956,20849080000
2012-02-07,1344.329956,1354.319946,1335.920044,1351.770020,1351.770020,19544700000
2012-02-14,1351.300049,1363.400024,1340.800049,1361.229980,1361.229980,15796380000
2012-02-21,1361.219971,1371.939941,1352.280029,1367.589966,1367.589966,18369610000
2012-02-28,1367.560059,1378.040039,1359.130005,1364.329956,1364.329956,18693700000
2012-03-06,1363.630005,1374.760010,1340.030029,1371.089966,1371.089966,18035840000
2012-03-13,1371.920044,1414.000000,1371.920044,1409.750000,1409.750000,22256920000
2012-03-20,1409.589966,1416.579956,1386.869995,1416.510010,1416.510010,18059360000
2012-03-27,1416.550049,1422.380005,1391.560059,1419.040039,1419.040039,18487340000
2012-04-03,1418.979980,1419.000000,1378.239990,1382.199951,1382.199951,14533100000
2012-04-10,1382.180054,1388.130005,1357.380005,1369.569946,1369.569946,19198990000
2012-04-17,1369.569946,1392.760010,1358.790039,1366.939941,1366.939941,18587540000
2012-04-24,1366.969971,1406.640015,1366.819946,1397.910034,1397.910034,18870070000
2012-05-01,1397.859985,1415.319946,1363.939941,1369.579956,1369.579956,19151250000
2012-05-08,1369.160034,1369.160034,1336.609985,1338.349976,1338.349976,19835390000
2012-05-15,1338.359985,1344.939941,1291.979980,1315.989990,1315.989990,21357960000
2012-05-22,1316.089966,1328.489990,1296.530029,1317.819946,1317.819946,15042340000
2012-05-29,1318.900024,1334.930054,1266.739990,1278.180054,1278.180054,20214860000
2012-06-05,1277.819946,1335.520020,1274.160034,1308.930054,1308.930054,18964450000
2012-06-12,1309.400024,1348.219971,1306.619995,1344.780029,1344.780029,18298150000
2012-06-19,1344.829956,1363.459961,1309.270020,1313.719971,1313.719971,20378830000
2012-06-26,1314.089966,1366.349976,1310.300049,1365.510010,1365.510010,18561350000
2012-07-03,1365.750000,1374.810059,1346.650024,1352.459961,1352.459961,10807910000
2012-07-10,1352.959961,1361.540039,1325.410034,1353.640015,1353.640015,16626980000
2012-07-17,1353.680054,1380.390015,1337.560059,1350.520020,1350.520020,18894870000
2012-07-24,1350.520020,1391.739990,1329.239990,1385.300049,1385.300049,19650830000
2012-07-31,1385.270020,1399.630005,1354.650024,1394.229980,1394.229980,19329450000
2012-08-07,1394.459961,1407.140015,1394.459961,1404.109985,1404.109985,15291860000
2012-08-14,1404.359985,1418.709961,1400.599976,1418.130005,1418.130005,14390060000
2012-08-21,1418.130005,1426.680054,1398.040039,1410.439941,1410.439941,14425170000
2012-08-28,1410.439941,1413.949951,1397.010010,1406.579956,1406.579956,10668840000
2012-09-04,1406.540039,1438.739990,1396.560059,1429.079956,1429.079956,17483580000
2012-09-11,1429.130005,1474.510010,1429.130005,1461.189941,1461.189941,20281800000
2012-09-18,1461.189941,1467.069946,1449.979980,1456.890015,1456.890015,18054060000
2012-09-25,1456.939941,1463.239990,1430.530029,1444.489990,1444.489990,17469920000
2012-10-02,1444.989990,1470.959961,1439.010010,1455.880005,1455.880005,15970950000
2012-10-09,1455.900024,1455.900024,1425.530029,1440.130005,1440.130005,16732480000
2012-10-16,1440.310059,1464.020020,1422.060059,1433.819946,1433.819946,18195510000
2012-10-23,1433.739990,1433.739990,1403.280029,1411.939941,1411.939941,13771190000
2012-10-30,1410.989990,1434.270020,1405.949951,1417.260010,1417.260010,14160520000
2012-11-06,1417.260010,1433.380005,1373.030029,1380.030029,1380.030029,17657870000
2012-11-13,1380.030029,1388.810059,1343.349976,1386.890015,1386.890015,18914640000
2012-11-20,1386.819946,1409.160034,1377.040039,1406.290039,1406.290039,10328170000
2012-11-27,1406.290039,1423.729980,1385.430054,1409.459961,1409.459961,17079500000
2012-12-04,1409.459961,1421.640015,1398.229980,1418.550049,1418.550049,16855920000
2012-12-11,1418.550049,1438.589966,1411.880005,1430.359985,1430.359985,17375020000
2012-12-18,1430.469971,1448.000000,1422.579956,1426.660034,1426.660034,18336740000
2012-12-25,1426.660034,1429.420044,1398.109985,1426.189941,1426.189941,10746220000
2013-01-01,1426.189941,1467.939941,1426.189941,1461.890015,1461.890015,14761590000
2013-01-08,1461.890015,1472.750000,1451.640015,1470.680054,1470.680054,17701490000
2013-01-15,1470.670044,1485.979980,1463.760010,1485.979980,1485.979980,14021880000
2013-01-22,1485.979980,1503.260010,1481.160034,1500.180054,1500.180054,17687220000
2013-01-29,1500.180054,1514.410034,1495.020020,1495.709961,1495.709961,18902650000
2013-02-05,1495.709961,1518.310059,1495.709961,1517.010010,1517.010010,16514760000
2013-02-12,1517.010010,1524.689941,1514.020020,1519.790039,1519.790039,14398500000
2013-02-19,1519.790039,1530.939941,1487.849976,1487.849976,1487.849976,19694450000
2013-02-26,1487.849976,1525.339966,1485.010010,1525.199951,1525.199951,18549490000
2013-03-05,1525.199951,1556.270020,1525.199951,1556.219971,1556.219971,17665630000
2013-03-12,1556.219971,1563.619995,1545.130005,1552.099976,1552.099976,18148410000
2013-03-19,1552.099976,1564.910034,1538.569946,1551.689941,1551.689941,16515120000
2013-03-26,1551.689941,1570.569946,1551.689941,1562.170044,1562.170044,11841020000
2013-04-02,1562.170044,1573.660034,1539.500000,1563.069946,1563.069946,17125970000
2013-04-09,1563.109985,1597.349976,1552.280029,1552.359985,1552.359985,17966500000
2013-04-16,1552.359985,1575.349976,1536.030029,1562.500000,1562.500000,18345560000
2013-04-23,1562.500000,1596.650024,1562.500000,1593.609985,1593.609985,17161790000
2013-04-30,1593.579956,1619.770020,1581.280029,1617.500000,1617.500000,17308490000
2013-05-07,1617.550049,1636.000000,1616.640015,1633.770020,1633.770020,16318750000
2013-05-14,1633.750000,1672.839966,1633.750000,1666.290039,1666.290039,17344150000
2013-05-21,1666.199951,1687.180054,1635.530029,1649.599976,1649.599976,14578170000
2013-05-28,1652.630005,1674.209961,1622.719971,1640.420044,1640.420044,18594830000
2013-06-04,1640.729980,1648.689941,1598.229980,1642.810059,1642.810059,17184290000
2013-06-11,1638.640015,1646.500000,1608.069946,1639.040039,1639.040039,16093360000
2013-06-18,1639.770020,1654.189941,1560.329956,1573.089966,1573.089966,22055830000
2013-06-25,1577.520020,1626.609985,1577.089966,1614.959961,1614.959961,18765930000
2013-07-02,1614.290039,1644.680054,1604.569946,1640.459961,1640.459961,11431910000
2013-07-09,1642.890015,1684.510010,1642.890015,1682.500000,1682.500000,15274980000
2013-07-16,1682.699951,1697.609985,1671.839966,1695.530029,1695.530029,15769230000
2013-07-23,1696.630005,1698.780029,1676.030029,1685.329956,1685.329956,15358090000
2013-07-30,1687.920044,1709.670044,1682.420044,1707.140015,1707.140015,16609020000
2013-08-06,1705.790039,1705.790039,1683.349976,1689.469971,1689.469971,15169930000
2013-08-13,1690.650024,1696.810059,1645.839966,1646.060059,1646.060059,15449660000
2013-08-20,1646.810059,1669.510010,1639.430054,1656.780029,1656.780029,13477070000
2013-08-27,1652.540039,1652.540039,1627.469971,1632.969971,1632.969971,11265050000
2013-09-03,1635.949951,1672.400024,1633.410034,1671.709961,1671.709961,16227530000
2013-09-10,1675.109985,1704.949951,1675.109985,1697.599976,1697.599976,15749850000
2013-09-17,1697.729980,1729.859985,1697.099976,1701.839966,1701.839966,18705110000
2013-09-24,1702.599976,1707.630005,1674.989990,1681.550049,1681.550049,15491920000
2013-10-01,1682.410034,1696.550049,1670.359985,1676.119995,1676.119995,15225700000
2013-10-08,1676.219971,1711.030029,1646.469971,1710.140015,1710.140015,16034620000
2013-10-15,1709.170044,1747.790039,1695.930054,1744.660034,1744.660034,16985110000
2013-10-22,1746.479980,1764.989990,1740.500000,1762.109985,1762.109985,17693940000
2013-10-29,1762.930054,1775.219971,1752.699951,1767.930054,1767.930054,17589190000
2013-11-05,1765.670044,1774.540039,1746.199951,1771.890015,1771.890015,17353210000
2013-11-12,1769.510010,1802.329956,1760.640015,1791.530029,1791.530029,16110910000
2013-11-19,1790.790039,1808.099976,1777.229980,1802.479980,1802.479980,15643900000
2013-11-26,1802.869995,1813.550049,1798.599976,1800.900024,1800.900024,10734440000
2013-12-03,1800.099976,1811.520020,1779.089966,1808.369995,1808.369995,16702630000
2013-12-10,1807.599976,1808.520020,1772.280029,1786.540039,1786.540039,16166990000
2013-12-17,1786.469971,1829.750000,1767.989990,1827.989990,1827.989990,19044250000
2013-12-24,1828.020020,1844.890015,1828.020020,1841.069946,1841.069946,7636680000
2013-12-31,1842.609985,1849.439941,1823.729980,1826.770020,1826.770020,11462560000
2014-01-07,1828.709961,1843.449951,1815.520020,1819.199951,1819.199951,17672100000
2014-01-14,1821.359985,1850.839966,1821.359985,1838.699951,1838.699951,14248500000
2014-01-21,1841.050049,1849.310059,1772.880005,1781.560059,1781.560059,19792540000
2014-01-28,1783.000000,1798.770020,1739.660034,1741.890015,1741.890015,19735090000
2014-02-04,1743.819946,1799.939941,1737.920044,1799.839966,1799.839966,18966260000
2014-02-11,1800.449951,1841.650024,1800.410034,1838.630005,1838.630005,13430020000
2014-02-18,1839.030029,1858.709961,1824.579956,1847.609985,1847.609985,17906070000
2014-02-25,1847.660034,1867.920044,1834.439941,1845.729980,1845.729980,18125420000
2014-03-04,1849.229980,1883.569946,1849.229980,1877.170044,1877.170044,17105300000
2014-03-11,1878.260010,1882.349976,1839.569946,1858.829956,1858.829956,16480200000
2014-03-18,1858.920044,1883.969971,1849.689941,1857.439941,1857.439941,18226650000
2014-03-25,1859.479980,1875.920044,1842.109985,1872.339966,1872.339966,16644660000
2014-04-01,1873.959961,1897.280029,1841.479980,1845.040039,1845.040039,16908740000
2014-04-08,1845.479980,1872.530029,1814.359985,1830.609985,1830.609985,17643880000
2014-04-15,1831.449951,1871.890015,1816.290039,1871.890015,1871.890015,12875450000
2014-04-22,1872.569946,1884.890015,1850.609985,1869.430054,1869.430054,16740690000
2014-04-29,1870.780029,1891.329956,1866.770020,1884.660034,1884.660034,16737080000
2014-05-06,1883.689941,1897.130005,1859.790039,1896.650024,1896.650024,16384390000
2014-05-13,1896.750000,1902.170044,1862.359985,1885.079956,1885.079956,15128280000
2014-05-20,1884.880005,1901.260010,1868.140015,1900.530029,1900.530029,10940920000
2014-05-27,1902.010010,1925.880005,1902.010010,1924.969971,1924.969971,14369030000
2014-06-03,1923.069946,1955.550049,1918.599976,1951.270020,1951.270020,14450850000
2014-06-10,1950.339966,1950.859985,1925.780029,1937.780029,1937.780029,13977820000
2014-06-17,1937.150024,1963.910034,1933.550049,1962.609985,1962.609985,16042500000
2014-06-24,1961.969971,1968.170044,1944.689941,1960.229980,1960.229980,16303190000
2014-07-01,1962.290039,1985.589966,1962.290039,1977.650024,1977.650024,10719070000
2014-07-08,1976.390015,1979.849976,1952.859985,1977.099976,1977.099976,14756470000
2014-07-15,1977.359985,1983.939941,1955.589966,1973.630005,1973.630005,15818590000
2014-07-22,1975.650024,1991.390015,1967.310059,1978.910034,1978.910034,14406010000
2014-07-29,1980.030029,1984.849976,1916.369995,1938.989990,1938.989990,17687130000
2014-08-05,1936.339966,1944.900024,1904.780029,1936.920044,1936.920044,15919360000
2014-08-12,1935.729980,1971.989990,1928.290039,1971.739990,1971.739990,13600720000
2014-08-19,1972.729980,2001.949951,1972.729980,1997.920044,1997.920044,12410650000
2014-08-26,1998.589966,2005.040039,1990.520020,2003.369995,2003.369995,9337830000
2014-09-02,2004.069946,2011.170044,1990.099976,2001.540039,2001.540039,14309760000
2014-09-09,2000.729980,2001.010010,1978.479980,1984.130005,1984.130005,14720050000
2014-09-16,1981.930054,2019.260010,1979.060059,1994.290039,1994.290039,17834960000
2014-09-23,1992.780029,1999.790039,1964.040039,1977.800049,1977.800049,15890130000
2014-09-30,1978.209961,1985.170044,1926.030029,1964.819946,1964.819946,19071390000
2014-10-07,1962.359985,1970.359985,1874.140015,1874.739990,1874.739990,21376900000
2014-10-14,1877.109985,1905.030029,1820.660034,1904.010010,1904.010010,23789290000
2014-10-21,1909.380005,1965.270020,1909.380005,1961.630005,1961.630005,18155510000
2014-10-28,1964.140015,2024.459961,1964.140015,2017.810059,2017.810059,18827490000
2014-11-04,2015.810059,2038.699951,2001.010010,2038.260010,2038.260010,18381840000
2014-11-11,2038.199951,2046.180054,2030.439941,2041.319946,2041.319946,16040260000
2014-11-18,2041.479980,2071.459961,2040.369995,2069.409912,2069.409912,16979810000
2014-11-25,2070.149902,2075.760010,2049.570068,2053.439941,2053.439941,12801850000
2014-12-02,2053.770020,2079.469971,2053.770020,2060.310059,2060.310059,17928280000
2014-12-09,2056.550049,2060.600098,1982.260010,1989.630005,1989.630005,20522180000
2014-12-16,1986.709961,2078.760010,1972.560059,2078.540039,2078.540039,24439480000
2014-12-23,2081.479980,2093.550049,2079.770020,2090.570068,2090.570068,8648520000
2014-12-30,2088.489990,2088.489990,2017.339966,2020.579956,2020.579956,11554170000
2015-01-06,2022.150024,2064.429932,1992.439941,2028.260010,2028.260010,19020200000
2015-01-13,2031.579956,2056.929932,1988.119995,2019.420044,2019.420044,16819110000
2015-01-20,2020.760010,2064.620117,2004.489990,2057.090088,2057.090088,18889780000
2015-01-27,2047.859985,2047.859985,1980.900024,2020.849976,2020.849976,20101460000
2015-02-03,2022.709961,2072.399902,2022.709961,2046.739990,2046.739990,20362320000
2015-02-10,2049.379883,2097.030029,2048.620117,2096.989990,2096.989990,14582510000
2015-02-17,2096.469971,2110.610107,2085.439941,2109.659912,2109.659912,16354150000
2015-02-24,2109.100098,2119.590088,2103.750000,2117.389893,2117.389893,16877740000
2015-03-03,2115.760010,2115.760010,2067.270020,2079.429932,2079.429932,16989100000
2015-03-10,2076.139893,2081.409912,2039.689941,2081.189941,2081.189941,17275490000
2015-03-17,2080.590088,2114.860107,2061.229980,2104.419922,2104.419922,19477350000
2015-03-24,2103.939941,2107.629883,2045.500000,2086.239990,2086.239990,16147870000
2015-03-31,2084.050049,2086.989990,2048.379883,2080.620117,2080.620117,13318750000
2015-04-07,2080.790039,2107.649902,2073.300049,2092.429932,2092.429932,15567820000
2015-04-14,2092.280029,2111.909912,2072.370117,2100.399902,2100.399902,17376910000
2015-04-21,2102.820068,2125.919922,2091.050049,2108.919922,2108.919922,17043090000
2015-04-28,2108.350098,2120.949951,2077.590088,2114.489990,2114.489990,18601890000
2015-05-05,2112.629883,2117.689941,2067.929932,2105.330078,2105.330078,17654910000
2015-05-12,2102.870117,2131.780029,2085.570068,2129.199951,2129.199951,15719790000
2015-05-19,2129.449951,2134.719971,2122.590088,2126.060059,2126.060059,11964230000
2015-05-26,2125.340088,2126.219971,2099.179932,2111.729980,2111.729980,16389540000
2015-06-02,2110.409912,2121.919922,2079.110107,2079.280029,2079.280029,15510220000
2015-06-09,2079.070068,2115.020020,2072.139893,2084.429932,2084.429932,15358470000
2015-06-16,2084.260010,2129.870117,2082.100098,2122.850098,2122.850098,17142330000
2015-06-23,2123.159912,2128.030029,2056.639893,2057.639893,2057.639893,18112710000
2015-06-30,2061.189941,2085.060059,2056.320068,2068.760010,2068.760010,14288700000
2015-07-07,2069.520020,2100.669922,2044.020020,2099.600098,2099.600098,17676050000
2015-07-14,2099.719971,2132.820068,2098.179932,2128.280029,2128.280029,16099630000
2015-07-21,2127.550049,2128.489990,2063.520020,2067.639893,2067.639893,18517360000
2015-07-28,2070.750000,2114.239990,2069.090088,2098.040039,2098.040039,18894160000
2015-08-04,2097.679932,2112.659912,2067.909912,2104.179932,2104.179932,18878740000
2015-08-11,2102.659912,2102.870117,2052.090088,2102.439941,2102.439941,16862590000
2015-08-18,2101.989990,2103.469971,1867.010010,1893.209961,1893.209961,22016310000
2015-08-25,1898.079956,1993.479980,1867.079956,1972.180054,1972.180054,23392380000
